rep,day,inoc,salt,temp,mcn
R3,D3,nahant,31%,roomT,8.383643156115276
R3,D3,nahant,46%,15C,8.559058410266848
R3,D3,nahant,46%,roomT,8.473139754753662
R3,D5,charles,16%,15C,3.0929658129607493
R3,D5,charles,16%,roomT,3.4069233758892064
R3,D5,charles,31%,15C,2.9711423180361893
R3,D5,charles,31%,roomT,4.597031862572769
R3,D5,charles,46%,15C,4.43295297308284
R3,D5,charles,46%,roomT,5.064870930732766
R3,D5,fucus,16%,15C,7.617666797344157
R3,D5,fucus,16%,roomT,6.3567034122578425
R3,D5,fucus,31%,15C,7.827948559557558
R3,D5,fucus,31%,roomT,7.407078173894809
R3,D5,fucus,46%,15C,7.833149086167704
R3,D5,fucus,46%,roomT,8.56708838760854
R3,D5,ica,16%,15C,6.321330710987774
R3,D5,ica,16%,roomT,5.89370817391347
R3,D5,ica,31%,15C,4.472271612505506
R3,D5,ica,31%,roomT,5.157997390513256
R3,D5,ica,46%,15C,8.248700660399663
R3,D5,ica,46%,roomT,8.75460488449038
R3,D5,nahant,16%,15C,8.04282210740955
R3,D5,nahant,16%,roomT,9.389360583052618
R3,D5,nahant,31%,15C,7.310974539920653
R3,D5,nahant,31%,roomT,7.989582008086527
R3,D5,nahant,46%,15C,8.182250014032538
R3,D5,nahant,46%,roomT,8.5199212986753885
R3,D6,charles,16%,15C,3.015277764597293
R3,D6,charles,16%,roomT,4.211864825235715
R3,D6,charles,31%,15C,3.480528096993847
R3,D6,charles,31%,roomT,4.913317596384272
R3,D6,charles,46%,15C,4.333175059028672
R3,D6,charles,46%,roomT,4.931919232661855
R3,D6,fucus,16%,15C,4.156948060960489
R3,D6,fucus,16%,roomT,5.679246719981339
R3,D6,fucus,31%,15C,8.503758769926856
R3,D6,fucus,31%,roomT,8.619135702440657
R3,D6,fucus,46%,15C,8.452388084871528
R3,D6,fucus,46%,roomT,8.376805652735687
R3,D6,ica,16%,15C,7.420778797800313
R3,D6,ica,16%,roomT,6.097940600388145
R3,D6,ica,31%,15C,6.647414616280333
R3,D6,ica,31%,roomT,6.988634103550988
R3,D6,ica,46%,15C,7.618135974068199
R3,D6,ica,46%,roomT,9.562897343227634
R3,D6,nahant,16%,15C,7.926948394313885
R3,D6,nahant,16%,roomT,9.354699043076158
R3,D6,nahant,31%,15C,7.49995884593738
R3,D6,nahant,31%,roomT,7.268219261985066
R3,D6,nahant,46%,15C,8.19214886270905
R3,D6,nahant,46%,roomT,8.17661807192017
R3,D7,charles,16%,15C,2.752630545147657
R3,D7,charles,16%,roomT,4.148012152445209
R3,D7,charles,31%,15C,2.924263870616091
R3,D7,charles,31%,roomT,4.625368474997427
R3,D7,charles,46%,15C,4.3463847207249735
R3,D7,charles,46%,roomT,5.417422805221007
R3,D7,fucus,16%,15C,8.402818158718619
R3,D7,fucus,16%,roomT,5.1239458361189065
R3,D7,fucus,31%,15C,9.180788036397468
R3,D7,fucus,31%,roomT,9.066021430533858
R3,D7,fucus,46%,15C,8.388581610720252
R3,D7,fucus,46%,roomT,8.023621659150209
R3,D7,ica,16%,15C,6.128736952528419
R3,D7,ica,16%,roomT,5.840774184643022
R3,D7,ica,31%,15C,7.8017419758507645
R3,D7,ica,31%,roomT,6.651075269777974
R3,D7,ica,46%,15C,6.518924857660307
R3,D7,ica,46%,roomT,9.618887579103124
R3,D7,nahant,16%,15C,7.867837489972516
R3,D7,nahant,16%,roomT,9.19189005395611
R3,D7,nahant,31%,15C,7.2355391972402
R3,D7,nahant,31%,roomT,7.642293591305424
R3,D7,nahant,46%,15C,8.189789975127088
R3,D7,nahant,46%,roomT,8.488048637832398
