day_ID,salinity,salt,competition,pair,strain1,strain2,mean_CFU_1,mean_CFU_2,mean_ratio_fast
D3,16,16,5-95,40-8,40,8,2566666666.6666665,400000000,0.1367508210180624
D3,16,16,5-95,40-II.F2,40,II.F2,2933333333.3333335,300000000,0.9084392310198762
D3,16,16,5-95,6-25,6,25,4333333333.333333,6333333333.333333,0.42857142857142855
D3,16,16,50-50,2-25,2,25,1333333333.3333333,13666666666.666666,0.09048821548821549
D3,16,16,50-50,2-32,2,32,0,4000000000,1
D3,16,16,50-50,2-II.F2,2,II.F2,1233333333.3333333,2600000000,0.31581494386372433
D3,16,16,50-50,40-2,40,2,4166666666.6666665,0,0
D3,16,16,50-50,40-39,40,39,4466666666.666667,366666666.6666667,0.9235778841041998
D3,16,16,50-50,40-8,40,8,2533333333.3333335,566666666.6666666,0.1770417520768152
D3,16,16,50-50,40-II.F2,40,II.F2,3900000000,333333333.3333333,0.9207790786738155
D3,16,16,50-50,6-25,6,25,4333333333.333333,9666666666.666666,0.318218954248366
D3,16,16,95-5,2-25,2,25,2000000000,8000000000,0.20634920634920634
D3,16,16,95-5,2-32,2,32,100000000,2500000000,0.6666666666666666
D3,16,16,95-5,2-II.F2,2,II.F2,1066666666.6666666,2833333333.3333335,0.27098276400601984
D3,16,16,95-5,40-2,40,2,2966666666.6666665,0,0
D3,16,16,95-5,40-39,40,39,3500000000,633333333.3333334,0.8469696969696969
D3,16,16,95-5,40-8,40,8,2433333333.3333335,433333333.3333333,0.1585206907787553
D3,16,16,95-5,40-II.F2,40,II.F2,3433333333.3333335,400000000,0.8859531772575251
D3,16,16,95-5,6-25,6,25,2666666666.6666665,7333333333.333333,0.2621082621082621
D3,31,31,100,2,2,2,2233333333.3333335,0,1
D3,31,31,100,25,25,25,7900000000,0,1
D3,31,31,100,32,32,32,4600000000,0,1
D3,31,31,100,39,39,39,4800000000,0,1
D3,31,31,100,40,40,40,4066666666.6666665,0,1
D3,31,31,100,8,8,8,1766666666.6666667,0,1
D3,31,31,100,II.F2,II.F2,II.F2,9166666666.666666,0,1
D3,31,31,5-95,2-25,2,25,2833333333.3333335,2166666666.6666665,0.5376984126984127
D3,31,31,5-95,2-32,2,32,266666666.66666666,2966666666.6666665,0.9162485065710873
D3,31,31,5-95,2-II.F2,2,II.F2,2000000000,1933333333.3333333,0.5097948122338366
D3,31,31,5-95,40-2,40,2,2033333333.3333333,1500000000,0.45863160078846354
D3,31,31,5-95,40-39,40,39,3200000000,400000000,0.8576620909954243
D3,31,31,5-95,40-8,40,8,2466666666.6666665,700000000,0.23385964912280702
D3,31,31,5-95,40-II.F2,40,II.F2,3933333333.3333335,966666666.6666666,0.7912137049941929
D3,31,31,5-95,6-25,6,25,833333333.3333334,6500000000,0.11143790849673202
D3,31,31,50-50,2-25,2,25,2833333333.3333335,3666666666.6666665,0.43398901293638137
D3,31,31,50-50,2-32,2,32,433333333.3333333,2833333333.3333335,0.8690476190476191
D3,31,31,50-50,2-II.F2,2,II.F2,2100000000,900000000,0.6932773109243697
D3,31,31,50-50,40-2,40,2,4166666666.6666665,1200000000,0.2236706689536878
