day_ID,salinity,salt,pair,pair_type,strain1,strain2,mean_CFU_1,mean_CFU_2,mean_ratio_fast
D3,61,61,40-39,pair,40,39,3800000000,0,1
D3,61,61,40-8,pair,40,8,977777777.7777778,588888888.8888888,0.3975751644869292
D3,61,61,40-II.F2,pair,40,II.F2,1022222222.2222222,1822222222.2222223,0.36179900595223174
D3,61,61,6-25,pair,6,25,9000000000,5111111111.111111,0.6178757970424636
D3,61,61,8,mono,8,8,800000000,0,1
D3,61,61,II.F2,mono,II.F2,II.F2,1733333333.3333333,0,1
D5,16,16,2,mono,2,2,1133333333.3333333,0,1
D5,16,16,2-25,pair,2,25,1875000000,14500000000,0.10602747678018576
D5,16,16,2-32,pair,2,32,44444444.44444445,1488888888.8888888,0.8148148148148148
D5,16,16,2-II.F2,pair,2,II.F2,533333333.3333333,4455555555.555555,0.10320676254215734
D5,16,16,25,mono,25,25,11466666666.666666,0,1
D5,16,16,32,mono,32,32,1466666666.6666667,0,1
D5,16,16,39,mono,39,39,4833333333.333333,0,1
D5,16,16,40,mono,40,40,2000000000,0,1
D5,16,16,40-2,pair,40,2,3466666666.6666665,0,0
D5,16,16,40-39,pair,40,39,2277777777.7777777,1033333333.3333334,0.6130314881963869
D5,16,16,40-8,pair,40,8,3344444444.4444447,300000000,0.07061611488116634
D5,16,16,40-II.F2,pair,40,II.F2,2711111111.111111,400000000,0.8712898655289959
D5,16,16,6-25,pair,6,25,10000000000,9333333333.333334,0.5093918809089087
D5,16,16,8,mono,8,8,1366666666.6666667,0,1
D5,16,16,II.F2,mono,II.F2,II.F2,2866666666.6666665,0,1
D5,31,31,2,mono,2,2,2066666666.6666667,0,1
D5,31,31,2-25,pair,2,25,1222222222.2222223,9000000000,0.1127946127946128
D5,31,31,2-32,pair,2,32,77777777.77777778,2444444444.4444447,0.8691641833404286
D5,31,31,2-II.F2,pair,2,II.F2,1688888888.8888888,488888888.8888889,0.7971687777243333
D5,31,31,25,mono,25,25,9266666666.666666,0,1
D5,31,31,32,mono,32,32,3033333333.3333335,0,1
D5,31,31,39,mono,39,39,1766666666.6666667,0,1
D5,31,31,40,mono,40,40,4633333333.333333,0,1
D5,31,31,40-2,pair,40,2,5555555555.555555,188888888.8888889,0.03644570686097049
D5,31,31,40-39,pair,40,39,3977777777.7777777,188888888.8888889,0.943927190583567
D5,31,31,40-8,pair,40,8,3400000000,744444444.4444444,0.18948412698412698
D5,31,31,40-II.F2,pair,40,II.F2,5400000000,11111111.111111112,0.9979423868312757
D5,31,31,6-25,pair,6,25,4777777777.777778,10666666666.666666,0.3152673350041771
D5,31,31,8,mono,8,8,2300000000,0,1
D5,31,31,II.F2,mono,II.F2,II.F2,2633333333.3333335,0,1
D5,46,46,2,mono,2,2,900000000,0,1
D5,46,46,2-25,pair,2,25,2166666666.6666665,4222222222.2222223,0.31623422873422874
D5,46,46,2-32,pair,2,32,133333333.33333333,2188888888.888889,0.9480762782837235
D5,46,46,2-II.F2,pair,2,II.F2,900000000,1066666666.6666667,0.5609618350997662
D5,46,46,25,mono,25,25,7233333333.333333,0,1
D5,46,46,32,mono,32,32,1833333333.3333333,0,1
D5,46,46,39,mono,39,39,500000000,0,1
D5,46,46,40,mono,40,40,2033333333.3333333,0,1
D5,46,46,40-2,pair,40,2,1488888888.8888888,466666666.6666666,0.25269531610302404
D5,46,46,40-39,pair,40,39,2022222222.2222223,33333333.333333332,0.9666666666666667
D5,46,46,40-8,pair,40,8,2633333333.3333335,522222222.2222222,0.1745765668088717
D5,46,46,40-II.F2,pair,40,II.F2,3366666666.6666665,1366666666.6666667,0.7270681550296684
D5,46,46,6-25,pair,6,25,7666666666.666667,6055555555.555555,0.5655976338830745
D5,46,46,8,mono,8,8,1266666666.6666667,0,1
D5,46,46,II.F2,mono,II.F2,II.F2,1500000000,0,1
D5,61,61,2,mono,2,2,1433333333.3333333,0,1
D5,61,61,2-25,pair,2,25,2722222222.2222223,3777777777.7777777,0.4022551341178792
D5,61,61,2-32,pair,2,32,233333333.3333333,2211111111.111111,0.8961332906110945
D5,61,61,2-II.F2,pair,2,II.F2,1288888888.8888888,355555555.5555556,0.8276516855464224
D5,61,61,25,mono,25,25,7266666666.666667,0,1
D5,61,61,32,mono,32,32,4600000000,0,1
D5,61,61,39,mono,39,39,333333333.3333334,0,1
D5,61,61,40,mono,40,40,5700000000,0,1
D5,61,61,40-2,pair,40,2,22222222.222222224,1733333333.3333333,0.9877616747181964
D5,61,61,40-39,pair,40,39,3222222222.2222223,0,1
D5,61,61,40-8,pair,40,8,1777777777.7777777,811111111.1111112,0.3371856140673345
D5,61,61,40-II.F2,pair,40,II.F2,2077777777.7777777,2711111111.111111,0.43717804197354143
D5,61,61,6-25,pair,6,25,8222222222.222222,5777777777.777778,0.5488284808873044
D5,61,61,8,mono,8,8,2100000000,0,1
D5,61,61,II.F2,mono,II.F2,II.F2,2366666666.6666665,0,1
D7,16,16,2,mono,2,2,1500000000,0,1
D7,16,16,2-25,pair,2,25,1375000000,11187500000,0.10941372224266963
D7,16,16,2-32,pair,2,32,0,2500000000,1
D7,16,16,2-II.F2,pair,2,II.F2,433333333.3333333,2755555555.5555553,0.13541591573551204
D7,16,16,25,mono,25,25,9200000000,0,1
D7,16,16,32,mono,32,32,2833333333.3333335,0,1
D7,16,16,39,mono,39,39,4666666666.666667,0,1
D7,16,16,40,mono,40,40,4233333333.3333335,0,1
D7,16,16,40-2,pair,40,2,3344444444.4444447,133333333.33333334,0.04690358374568901
D7,16,16,40-39,pair,40,39,2977777777.7777777,1233333333.3333333,0.6786531660645135
D7,16,16,40-8,pair,40,8,3333333333.3333335,622222222.2222222,0.15846153748997124
D7,16,16,40-II.F2,pair,40,II.F2,3555555555.5555553,111111111.1111111,0.9688961926046877
D7,16,16,6-25,pair,6,25,7388888888.888889,3388888888.888889,0.6679850275184961
D7,16,16,8,mono,8,8,1500000000,0,1
D7,16,16,II.F2,mono,II.F2,II.F2,1733333333.3333333,0,1
D7,31,31,2,mono,2,2,966666666.6666666,0,1
D7,31,31,2-25,pair,2,25,1833333333.3333333,5666666666.666667,0.2367797010699824
D7,31,31,2-32,pair,2,32,433333333.3333334,1455555555.5555556,0.6694277944277944
D7,31,31,2-II.F2,pair,2,II.F2,1277777777.7777777,866666666.6666666,0.6463163710506705
D7,31,31,25,mono,25,25,6433333333.333333,0,1
D7,31,31,32,mono,32,32,1333333333.3333333,0,1
D7,31,31,39,mono,39,39,2900000000,0,1
D7,31,31,40,mono,40,40,4800000000,0,1
D7,31,31,40-2,pair,40,2,2533333333.3333335,677777777.7777778,0.20627580036233947
