isolate_id,nreps,ndates,lin_x0,lin_slope,lin_x0_sd,lin_slope_sd,lin_sigma,lin_adj_rsquared,seg_x0_1,seg_slope1,changepoint,seg_slope2,seg_x0_2,fit_smax,fit_gchange,seg_sigma,seg_adj_rsquared,fit_sopt
C2,3,3,0.5128,-0.0062,0.0489,0.001,0.17,0.5236,0.7505,-0.0676,5.052,-0.0048,0.4332,90.25,0.409,0.1538,0.6099,5.052
C3,3,3,0.6277,-0.0061,0.03,6e-4,0.1044,0.7415,0.5587,-0.003,45.0001,-0.009,0.8287,92.0778,0.4237,0.0937,0.792,45.0001
I.E3,3,3,0.2805,-0.0019,0.0532,0.0011,0.1851,0.0582,-0,0.0614,6.0351,-0.0038,0.3935,103.5526,0.3706,0.1622,0.2774,6.0351
I.E4,3,3,0.1955,-6e-4,0.0588,0.0012,0.2045,-0.0205,0.0325,0.0064,49.5872,-0.0089,0.7912,88.8989,0.3499,0.1636,0.3467,49.5872
II.F11,3,3,0.39,-0.0021,0.0445,9e-4,0.1548,0.109,0.0951,0.0201,21.9221,-0.0067,0.6826,101.8806,0.5357,0.0528,0.8961,21.9221
C1,3,3,0.9937,-2e-4,0.0531,0.0011,0.1848,-0.0284,0.6907,0.0284,16.2984,-0.0037,1.2139,328.0811,1.1536,0.1283,0.5042,16.2984
I.A2,3,3,0.3883,6e-4,0.1015,0.002,0.353,-0.0267,-0.1346,0.0276,36.0462,-0.014,1.3649,97.4929,0.8603,0.1084,0.9032,36.0462
N1,3,3,0.1833,5e-4,0.0663,0.0013,0.2306,-0.0245,-0.0728,0.0124,43.0365,-0.0091,0.8525,93.6813,0.4609,0.143,0.6059,43.0365
I.B2,3,3,0.481,-0.0017,0.0948,0.0019,0.3299,-0.0059,-0.0979,0.049,17.8997,-0.009,0.9403,104.4778,0.7792,0.1982,0.6367,17.8997
II.H1,3,3,0.8757,-0.0022,0.0121,2e-4,0.0419,0.7076,0.8649,-0.0018,79.9999,-0.0052,1.1369,218.6346,0.7209,0.0403,0.7295,79.9999
I.B5,3,3,0.2689,-4e-4,0.0531,0.0011,0.1845,-0.0253,-0.0394,0.0204,25.5679,-0.0061,0.6381,104.6066,0.4822,0.088,0.767,25.5679
II.D1,3,3,0.6629,-2e-4,0.0127,3e-4,0.0441,-0.0094,0.753,-0.0084,17.0264,9e-4,0.5947,-660.7778,0.61,0.0164,0.8597,17.0264
II.D5,3,3,1.0799,-0.0086,0.0278,6e-4,0.0965,0.8692,1.0075,-0.0058,77.4233,-0.0248,2.4785,99.9395,0.5584,0.0362,0.9816,77.4233
